"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","cutoff.eli"
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 4",4.90346898784395e-05,0.0684556852059385,0.11000294248182,0.122905480993412,2099,0.1,10,3,0.97
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 4",2.82237023999915e-07,0.0684702970604457,0.122913000397912,0.251723705928632,21893,0.1,10,3,0.97
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 4",7.09206087975763e-06,0.0684711803957413,0.251748642087797,0.38990488467942,23677,0.1,10,3,0.97
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 4",3.42162915137596e-06,0.0684699639034109,0.389910735037637,0.458089472146194,11605,0.1,10,3,0.97
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 4, 4",1.02070523800794e-06,0.0684682517151358,0.45809839028063,0.645858502970758,31791,0.1,10,3,0.97
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 4, 4",1.10342988297343e-06,0.0684670997866782,0.645865901885413,0.999991034507816,60962,0.1,10,3,0.97
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 1, 2, 4",0.0684741439776255,0.0899840345189739,0.110005369252066,0.122910854421391,663,0.1,10,3,0.97
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 1, 2, 4",0.0684781126418271,0.0899977586609738,0.122932594142136,0.251728690436347,6954,0.1,10,3,0.97
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 1, 3, 4",0.0684804088153387,0.0899970119505633,0.251765758770362,0.389900709444367,7493,0.1,10,3,0.97
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 4",0.0684722648965119,0.0899954557353804,0.389929634550808,0.458085451976332,3659,0.1,10,3,0.97
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 4, 4",0.0684731079987125,0.0899940269017152,0.458099496063083,0.645853214828635,10143,0.1,10,3,0.97
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 4, 4",0.0684739378761458,0.0899998471264759,0.645877566978761,0.999981106773255,19063,0.1,10,3,0.97
